Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;CheckGateState;StatisticsSystem;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;1283137536;1563594752;2986464890;0;0;0;0;0;0;0;0;0;0;
2;4516520700;1309085696;1563594752;2986552948;59155300;0;0;0;0;0;0;0;0;282600;882;1302;0;0;0;0;
3;52965200;1313980416;1563594752;2986575736;2939500;0;0;0;0;0;0;0;0;2000;882;1302;0;0;0;0;
4;66331100;1313890304;1563594752;2986551112;24971800;0;0;0;0;0;0;0;0;6600;882;1302;0;0;0;0;
5;10517200;1314721792;1563594752;2986573036;3155000;0;0;0;0;0;0;0;0;5700;882;1302;0;0;0;0;
6;3416800;1314959360;1563594752;2986573036;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
7;3530800;1315254272;1563594752;2986573036;1143500;0;0;0;0;0;0;0;0;2100;882;1302;0;0;0;0;
8;2699100;1315422208;1563594752;2986573036;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
9;2370400;1315577856;1563594752;2986573036;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
10;2636000;1315717120;1563594752;2986573036;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
11;2779200;1315872768;1563594752;2986572064;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
12;3810300;1316052992;1563594752;2986572064;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
13;4070400;1316450304;1563594752;2986572064;1035800;0;0;0;0;0;0;0;0;2800;882;1302;0;0;0;0;
14;2776000;1316610048;1563594752;2986572064;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
15;2213000;1316769792;1563594752;2986572064;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
16;3064500;1316909056;1563594752;2986572064;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
17;2735300;1317056512;1563594752;2986572064;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
18;3330000;1317306368;1563594752;2986572064;855800;0;0;0;0;0;0;0;0;1700;882;1302;0;0;0;0;
19;3654300;1317474304;1563594752;2986572064;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
20;2356800;1317629952;1563594752;2986572064;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
21;2984100;1317789696;1563594752;2986572064;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
22;2321800;1317933056;1563594752;2986572064;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
23;2592500;1318080512;1563594752;2986572064;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
24;3467500;1318322176;1563594752;2986572064;985200;0;0;0;0;0;0;0;0;1900;882;1302;0;0;0;0;
25;2636800;1318465536;1563594752;2986572064;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
26;2836200;1318621184;1563594752;2986572064;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
27;3033100;1318768640;1563594752;2986572064;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
28;2189400;1318920192;1563594752;2986572064;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
29;2223200;1319075840;1563594752;2986572064;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
30;4348600;1319313408;1563594752;2986572064;1297400;0;0;0;0;0;0;0;0;3200;882;1302;0;0;0;0;
31;4657900;1319677952;1563594752;2986572280;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
32;2767800;1319825408;1563594752;2986565476;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
33;2886800;1319985152;1563594752;2986565476;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
34;2962900;1320136704;1563594752;2986565476;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
35;3690000;1320353792;1563594752;2986565476;852100;0;0;0;0;0;0;0;0;2600;882;1302;0;0;0;0;
36;2528800;1320509440;1563594752;2986565476;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
37;2241200;1320644608;1563594752;2986565476;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
38;2640900;1320816640;1563594752;2986565476;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
39;3304100;1320783872;1563594752;2986565476;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
40;4034200;1321025536;1563594752;2986565476;1030100;0;0;0;0;0;0;0;0;2600;882;1302;0;0;0;0;
41;2391400;1321181184;1563594752;2986565476;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
42;2646800;1321349120;1563594752;2986565476;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
43;2301700;1321488384;1563594752;2986565476;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
44;2601100;1321639936;1563594752;2986565476;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
45;2819400;1321807872;1563594752;2986565476;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
46;4020100;1322049536;1563594752;2986565476;1029600;0;0;0;0;0;0;0;0;2300;882;1302;0;0;0;0;
47;2661000;1322188800;1563594752;2986565476;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
48;2412000;1322344448;1563594752;2986565476;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
49;2408200;1322508288;1563594752;2986565476;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
50;3077400;1322684416;1563594752;2986565476;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
51;2617000;1322852352;1563594752;2986565476;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
52;3215100;1323102208;1563594752;2986565476;896500;0;0;0;0;0;0;0;0;1900;882;1302;0;0;0;0;
53;2164600;1323233280;1563594752;2986565476;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
54;2204900;1323388928;1563594752;2986565476;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
55;2399000;1323556864;1563594752;2986565476;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
56;2563500;1323700224;1563594752;2986565476;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
57;2901100;1323839488;1563594752;2986565476;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
58;3199200;1324056576;1563594752;2986565476;869500;0;0;0;0;0;0;0;0;1800;882;1302;0;0;0;0;
59;2451300;1324204032;1563594752;2986565476;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
60;2329700;1324343296;1563594752;2986565476;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
61;2752900;1324486656;1563594752;2986565476;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
62;3148800;1324630016;1563594752;2986565476;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
63;2883200;1324789760;1563594752;2986565476;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
64;3673000;1325027328;1563594752;2986565476;1055400;0;0;0;0;0;0;0;0;1900;882;1302;0;0;0;0;
65;2638100;1325170688;1563594752;2986565476;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
66;2628200;1325326336;1563594752;2986565476;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
67;2739500;1325522944;1563594752;2986565476;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
68;2863400;1325666304;1563594752;2986565476;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
69;2922300;1325838336;1563594752;2986565476;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
70;3678100;1326145536;1563594752;2986565476;1088100;0;0;0;0;0;0;0;0;2200;882;1302;0;0;0;0;
71;2213500;1326329856;1563594752;2986565476;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
72;1940800;1326518272;1563594752;2986565476;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
73;2398500;1326694400;1563594752;2986565476;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
74;2437300;1326866432;1563594752;2986565476;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
75;2815500;1327030272;1563594752;2986565476;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
76;2680400;1327271936;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
77;3070700;1327570944;1563594752;2986565260;874400;0;0;0;0;0;0;0;0;1800;882;1302;0;0;0;0;
78;2206800;1327718400;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
79;3017200;1327919104;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
80;3137500;1328037888;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
81;2226400;1328279552;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
82;2919100;1328488448;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
83;3260900;1328824320;1563594752;2986565260;909400;0;0;0;0;0;0;0;0;1700;882;1302;0;0;0;0;
84;2039100;1329012736;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
85;2326100;1330204672;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
86;2391300;1331011584;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
87;2812900;1331056640;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
88;2333200;1331118080;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
89;2934300;1331240960;1563594752;2986565260;907600;0;0;0;0;0;0;0;0;2200;882;1302;0;0;0;0;
90;2431300;1331294208;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
91;2106200;1331347456;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
92;1993900;1331404800;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
93;2134000;1331462144;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
94;2248000;1331507200;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
95;2483300;1331556352;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
96;3033900;1331699712;1563594752;2986565260;857500;0;0;0;0;0;0;0;0;2300;882;1302;0;0;0;0;
97;2333100;1331802112;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
98;2010900;1331884032;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
99;2276500;1331961856;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
100;2980600;1332031488;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
101;2826100;1332097024;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
102;2780300;1332142080;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
103;3951900;1332264960;1563594752;2986565260;949500;0;0;0;0;0;0;0;0;2800;882;1302;0;0;0;0;
104;2443500;1332338688;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
105;2183500;1332404224;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
106;2227100;1332465664;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
107;3313600;1332523008;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
108;3613900;1332719616;1563594752;2986565260;847200;0;0;0;0;0;0;0;0;1700;882;1302;0;0;0;0;
109;2673600;1332797440;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
110;2487100;1332858880;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
111;2160200;1332928512;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
112;2587800;1332989952;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
113;2432800;1333059584;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
114;2921600;1333121024;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
115;3309200;1333243904;1563594752;2986565260;908100;0;0;0;0;0;0;0;0;1900;882;1302;0;0;0;0;
116;2188300;1333309440;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
117;2503500;1333362688;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
118;2976100;1333440512;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
119;2323700;1333497856;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
120;2840500;1333571584;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
121;2881300;1333702656;1563594752;2986565260;800800;0;0;0;0;0;0;0;0;2200;882;1302;0;0;0;0;
