Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,NFE Snapshot Tick,NFE Snapshot Size (bits),NFE RTT,NFE Jitter,Multiplay FPS,Multiplay BitRate In,Multiplay BitRate Out,Multiplay RTT (ms),Multiplay PacketLoss,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2895,4427700,584167424,17137664,504883469,0,0,0,0,0,0,0,0,0,0,19,0,1
2896,5422100,584196096,17137664,504883469,0,0,0,0,0,0,0,0,0,0,19,0,1
2897,2537500,584200192,17137664,504883469,0,0,0,0,0,0,0,0,0,0,19,0,1
2898,4344400,584204288,17137664,504883469,0,0,0,0,0,0,0,0,0,0,19,0,1
2899,3637600,584949760,17137664,504883469,0,0,0,0,0,0,0,0,0,0,29,0,1
2900,5307900,585060352,17137664,521660685,0,0,0,0,0,0,0,0,0,0,29,0,1
2901,2105700,585072640,17137664,521660685,0,0,0,0,0,0,0,0,0,0,29,0,1
2902,4697300,585072640,17137664,521660685,0,0,0,0,0,0,0,0,0,0,29,0,1
2903,3078800,585474048,17137664,521660685,463,0,0,0,0,0,0,0,0,0,39,0,1
2904,5128900,585498624,17137664,521660685,463,0,0,0,0,0,0,0,0,0,39,0,1
2905,2160800,585510912,17137664,521660685,463,0,0,0,0,0,0,0,0,0,39,0,1
2906,4019600,585515008,17137664,521660685,463,0,0,0,0,0,0,0,0,0,39,0,1
2907,2136500,585519104,17137664,521660685,463,0,0,0,0,0,0,0,0,0,39,0,1
2908,4215000,585932800,17137664,521660685,464,480,0,0,0,0,0,0,0,0,49,0,1
2909,3536500,585953280,17137664,521660685,464,480,0,0,0,0,0,0,0,0,49,0,1
2910,2018100,585953280,17137664,521660685,464,480,0,0,0,0,0,0,0,0,49,0,1
2911,4022400,585953280,17137664,521660685,464,480,0,0,0,0,0,0,0,0,49,0,1
2912,1959900,585953280,17137664,521660685,464,480,0,0,0,0,0,0,0,0,49,0,1
2913,3986200,585953280,17137664,521660685,464,480,0,0,0,0,0,0,0,0,49,0,1
2914,2718400,586330112,17137664,521660685,465,51,0,0,0,0,0,0,0,0,59,0,1
2915,5090000,586334208,17137664,521660685,465,51,0,0,0,0,0,0,0,0,59,0,1
2916,1908600,586498048,17137664,521660685,465,51,0,0,0,0,0,0,0,0,59,0,1
2917,3880700,586502144,17141760,521664781,465,51,0,0,0,0,0,0,0,0,59,0,1
2918,5617600,586964992,17145856,521668877,466,34,0,0,0,0,0,0,0,0,69,0,1
2919,2056200,587169792,17145856,538446093,466,34,0,0,0,0,0,0,0,0,69,0,1
2920,3964500,587173888,17145856,538446093,466,34,0,0,0,0,0,0,0,0,69,0,1
2921,2037400,587177984,17145856,538446093,466,34,0,0,0,0,0,0,0,0,69,0,1
2922,4167800,587182080,17145856,538446093,466,34,0,0,0,0,0,0,0,0,69,0,1
2923,3928800,587563008,17145856,538446093,467,68702,0,0,0,0,0,0,0,0,76,0,1
2924,4861800,587595776,17145856,538446093,467,68702,0,0,0,0,0,0,0,0,76,0,1
2925,2183300,587599872,17145856,538446093,467,68702,0,0,0,0,0,0,0,0,76,0,1
