Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,NFE Snapshot Tick,NFE Snapshot Size (bits),NFE RTT,NFE Jitter,Multiplay FPS,Multiplay BitRate In,Multiplay BitRate Out,Multiplay RTT (ms),Multiplay PacketLoss,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
3207,3144800,587227136,16785408,504531213,0,0,0,0,0,0,0,0,0,0,19,0,1
3208,3919600,587227136,16785408,504531213,0,0,0,0,0,0,0,0,0,0,19,0,1
3209,1934600,587231232,16785408,504531213,0,0,0,0,0,0,0,0,0,0,19,0,1
3210,2327300,587235328,16785408,504531213,0,0,0,0,0,0,0,0,0,0,19,0,1
3211,2222100,587239424,16785408,504531213,0,0,0,0,0,0,0,0,0,0,19,0,1
3212,2378000,587243520,16785408,504531213,0,0,0,0,0,0,0,0,0,0,19,0,1
3213,3011700,588144640,16785408,521308429,0,0,0,0,0,0,0,0,0,0,29,0,1
3214,4052400,588169216,16785408,521308429,0,0,0,0,0,0,0,0,0,0,29,0,1
3215,1875200,588177408,16785408,521308429,0,0,0,0,0,0,0,0,0,0,29,0,1
3216,2571700,588177408,16785408,521308429,0,0,0,0,0,0,0,0,0,0,29,0,1
3217,2196300,588177408,16785408,521308429,0,0,0,0,0,0,0,0,0,0,29,0,1
3218,2341600,588181504,16785408,521308429,0,0,0,0,0,0,0,0,0,0,29,0,1
3219,2172000,588185600,16785408,521308429,0,0,0,0,0,0,0,0,0,0,29,0,1
3220,2306900,588599296,16785408,521308429,454,0,0,0,0,0,0,0,0,0,39,0,1
3221,3836500,588607488,16785408,521308429,454,0,0,0,0,0,0,0,0,0,39,0,1
3222,3633900,588615680,16785408,521308429,454,0,0,0,0,0,0,0,0,0,39,0,1
3223,2206900,588615680,16785408,521308429,454,0,0,0,0,0,0,0,0,0,39,0,1
3224,3023800,588615680,16785408,521308429,454,0,0,0,0,0,0,0,0,0,39,0,1
3225,1408300,588615680,16785408,521308429,454,0,0,0,0,0,0,0,0,0,39,0,1
3226,3580500,588967936,16785408,521308429,455,480,0,0,0,0,0,0,0,0,49,0,1
3227,2854600,589099008,16785408,521308429,455,480,0,0,0,0,0,0,0,0,49,0,1
3228,2049900,589139968,16773120,521296141,455,480,0,0,0,0,0,0,0,0,49,0,1
3229,2219900,589144064,16773120,521296141,455,480,0,0,0,0,0,0,0,0,49,0,1
3230,2081000,589148160,16773120,521296141,455,480,0,0,0,0,0,0,0,0,49,0,1
3231,2428900,589152256,16773120,521296141,455,480,0,0,0,0,0,0,0,0,49,0,1
3232,2329800,589545472,16773120,521296141,456,33,0,0,0,0,0,0,0,0,59,0,1
3233,3823500,589549568,16773120,521296141,456,33,0,0,0,0,0,0,0,0,59,0,1
3234,1966300,589651968,16773120,538073357,456,33,0,0,0,0,0,0,0,0,59,0,1
3235,2381800,589656064,16773120,538073357,456,33,0,0,0,0,0,0,0,0,59,0,1
3236,2290200,589656064,16773120,538073357,456,33,0,0,0,0,0,0,0,0,59,0,1
3237,2223000,589660160,16773120,538073357,456,33,0,0,0,0,0,0,0,0,59,0,1
3238,2225600,589664256,16773120,538073357,456,33,0,0,0,0,0,0,0,0,59,0,1
3239,3378500,590086144,16773120,538073357,457,71372,0,0,0,0,0,0,0,0,69,0,1
3240,4386500,590127104,16773120,538073357,457,71372,0,0,0,0,0,0,0,0,69,0,1
3241,2019600,590184448,16773120,538073357,457,71372,0,0,0,0,0,0,0,0,69,0,1
3242,3240200,590184448,16773120,538073357,457,71372,0,0,0,0,0,0,0,0,69,0,1
3243,2121000,590184448,16773120,538073357,457,71372,0,0,0,0,0,0,0,0,69,0,1
3244,2117900,590184448,16773120,538073357,457,71372,0,0,0,0,0,0,0,0,69,0,1
3245,2820100,590557184,16773120,538073357,458,71401,0,0,0,0,0,0,0,0,76,0,1
3246,3604900,590569472,16773120,538073357,458,71401,0,0,0,0,0,0,0,0,76,0,1
3247,2142100,590573568,16773120,538073357,458,71401,0,0,0,0,0,0,0,0,76,0,1
3248,3706400,590577664,16773120,538073357,458,71401,0,0,0,0,0,0,0,0,76,0,1
3249,1873000,590585856,16777216,538077453,458,71401,0,0,0,0,0,0,0,0,76,0,1
3250,2431800,590585856,16777216,538077453,458,71401,0,0,0,0,0,0,0,0,76,0,1
3251,1951700,590647296,16777216,538077453,459,71423,0,0,0,0,0,0,0,0,76,0,1
3252,3796900,590688256,16777216,538077453,459,71423,0,0,0,0,0,0,0,0,76,0,1
3253,2577000,590848000,16777216,538077453,459,71423,0,0,0,0,0,0,0,0,76,0,1
3254,1816700,590848000,16777216,538077453,459,71423,0,0,0,0,0,0,0,0,76,0,1
3255,2611600,590848000,16777216,538077453,459,71423,0,0,0,0,0,0,0,0,76,0,1
3256,2139700,590848000,16777216,538077453,459,71423,0,0,0,0,0,0,0,0,76,0,1
3257,2129300,590848000,16777216,538077453,459,71423,0,0,0,0,0,0,0,0,76,0,1
3258,2470900,590852096,16777216,538077453,460,92,0,0,0,0,0,0,0,0,76,0,1
3259,2836600,590901248,16777216,538077453,460,92,0,0,0,0,0,0,0,0,76,0,1
3260,2248700,590958592,16777216,538077453,460,92,0,0,0,0,0,0,0,0,76,0,1
3261,2164300,590962688,16777216,538077453,460,92,0,0,0,0,0,0,0,0,76,0,1
3262,2274300,590962688,16777216,538077453,460,92,0,0,0,0,0,0,0,0,76,0,1
3263,2267000,590962688,16777216,538077453,460,92,0,0,0,0,0,0,0,0,76,0,1
3264,2165300,590962688,16777216,538077453,460,92,0,0,0,0,0,0,0,0,76,0,1
3265,2400300,590962688,16777216,538077453,461,71401,0,0,0,0,0,0,0,0,76,0,1
3266,4059300,590962688,16777216,538077453,461,71401,0,0,0,0,0,0,0,0,76,0,1
3267,1876000,591147008,16777216,554854669,461,71401,0,0,0,0,0,0,0,0,76,0,1
3268,2507100,591147008,16777216,554854669,461,71401,0,0,0,0,0,0,0,0,76,0,1
3269,3770000,591147008,16777216,554854669,461,71401,0,0,0,0,0,0,0,0,76,0,1
