Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,NFE Snapshot Tick,NFE Snapshot Size (bits),NFE RTT,NFE Jitter,Multiplay FPS,Multiplay BitRate In,Multiplay BitRate Out,Multiplay RTT (ms),Multiplay PacketLoss,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
3211,2858600,586977280,16633856,504379661,0,0,0,0,0,0,0,0,0,0,19,0,1
3212,3838200,586981376,16633856,504379661,0,0,0,0,0,0,0,0,0,0,19,0,1
3213,2148000,586985472,16633856,504379661,0,0,0,0,0,0,0,0,0,0,19,0,1
3214,2324500,586989568,16633856,504379661,0,0,0,0,0,0,0,0,0,0,19,0,1
3215,2092500,586993664,16633856,504379661,0,0,0,0,0,0,0,0,0,0,19,0,1
3216,2302100,586997760,16633856,504379661,0,0,0,0,0,0,0,0,0,0,19,0,1
3217,2304900,587001856,16633856,504379661,0,0,0,0,0,0,0,0,0,0,19,0,1
3218,2948600,587878400,16633856,521156877,0,0,0,0,0,0,0,0,0,0,29,0,1
3219,3817600,587931648,16633856,521156877,0,0,0,0,0,0,0,0,0,0,29,0,1
3220,2280800,587952128,16633856,521156877,0,0,0,0,0,0,0,0,0,0,29,0,1
3221,2020800,587952128,16633856,521156877,0,0,0,0,0,0,0,0,0,0,29,0,1
3222,2253800,587952128,16633856,521156877,0,0,0,0,0,0,0,0,0,0,29,0,1
3223,2344100,587952128,16633856,521156877,0,0,0,0,0,0,0,0,0,0,29,0,1
3224,2352800,588353536,16633856,521156877,452,0,0,0,0,0,0,0,0,0,39,0,1
3225,3926400,588353536,16633856,521156877,452,0,0,0,0,0,0,0,0,0,39,0,1
3226,3749900,588353536,16633856,521156877,452,0,0,0,0,0,0,0,0,0,39,0,1
3227,1857700,588353536,16633856,521156877,452,0,0,0,0,0,0,0,0,0,39,0,1
3228,2532200,588353536,16633856,521156877,452,0,0,0,0,0,0,0,0,0,39,0,1
