Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,NFE Snapshot Tick,NFE Snapshot Size (bits),NFE RTT,NFE Jitter,Multiplay FPS,Multiplay BitRate In,Multiplay BitRate Out,Multiplay RTT (ms),Multiplay PacketLoss,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2956,3336400,585064448,14397440,502143245,0,0,0,0,0,0,0,0,0,0,19,0,1
2957,4086800,585064448,14397440,502143245,0,0,0,0,0,0,0,0,0,0,19,0,1
2958,1906400,585064448,14397440,502143245,0,0,0,0,0,0,0,0,0,0,19,0,1
2959,2443400,585064448,14397440,502143245,0,0,0,0,0,0,0,0,0,0,19,0,1
2960,2318000,585064448,14397440,502143245,0,0,0,0,0,0,0,0,0,0,19,0,1
2961,2236000,585064448,14397440,502143245,0,0,0,0,0,0,0,0,0,0,19,0,1
2962,3259400,585887744,14397440,518920461,0,0,0,0,0,0,0,0,0,0,29,0,1
2963,4938200,585908224,14397440,518920461,0,0,0,0,0,0,0,0,0,0,29,0,1
2964,1441500,585912320,14397440,518920461,0,0,0,0,0,0,0,0,0,0,29,0,1
2965,4605700,585916416,14397440,518920461,0,0,0,0,0,0,0,0,0,0,29,0,1
2966,1589600,585916416,14397440,518920461,0,0,0,0,0,0,0,0,0,0,29,0,1
2967,4367500,586301440,14397440,518920461,473,0,0,0,0,0,0,0,0,0,39,0,1
2968,2931600,586301440,14397440,518920461,473,0,0,0,0,0,0,0,0,0,39,0,1
2969,2052200,586301440,14397440,518920461,473,0,0,0,0,0,0,0,0,0,39,0,1
2970,4192200,586305536,14397440,518920461,473,0,0,0,0,0,0,0,0,0,39,0,1
2971,4814900,586309632,14397440,518920461,473,0,0,0,0,0,0,0,0,0,39,0,1
2972,3748600,586665984,14401536,518924557,474,480,0,0,0,0,0,0,0,0,49,0,1
2973,4338600,586686464,14401536,518924557,474,480,0,0,0,0,0,0,0,0,49,0,1
2974,1939800,586690560,14401536,518924557,474,480,0,0,0,0,0,0,0,0,49,0,1
2975,2591800,586690560,14401536,518924557,474,480,0,0,0,0,0,0,0,0,49,0,1
2976,2722100,586690560,14401536,518924557,474,480,0,0,0,0,0,0,0,0,49,0,1
2977,2525100,587091968,14401536,518924557,475,51,0,0,0,0,0,0,0,0,59,0,1
2978,4957900,587128832,14401536,518924557,475,51,0,0,0,0,0,0,0,0,59,0,1
2979,1670500,587288576,14401536,518924557,475,51,0,0,0,0,0,0,0,0,59,0,1
2980,4305800,587292672,14401536,518924557,475,51,0,0,0,0,0,0,0,0,59,0,1
2981,2140400,587296768,14401536,518924557,475,51,0,0,0,0,0,0,0,0,59,0,1
2982,3599400,587296768,14401536,518924557,475,51,0,0,0,0,0,0,0,0,59,0,1
2983,2498400,587685888,14401536,518924557,476,33,0,0,0,0,0,0,0,0,69,0,1
2984,4453100,587726848,14401536,518924557,476,33,0,0,0,0,0,0,0,0,69,0,1
2985,1522900,587890688,14401536,535701773,476,33,0,0,0,0,0,0,0,0,69,0,1
2986,3649300,587890688,14401536,535701773,476,33,0,0,0,0,0,0,0,0,69,0,1
2987,2038100,587890688,14401536,535701773,476,33,0,0,0,0,0,0,0,0,69,0,1
2988,2948500,588234752,14401536,535701773,477,67543,0,0,0,0,0,0,0,0,76,0,1
2989,4025700,588238848,14401536,535701773,477,67543,0,0,0,0,0,0,0,0,76,0,1
2990,1799700,588238848,14401536,535701773,477,67543,0,0,0,0,0,0,0,0,76,0,1
2991,3715300,588238848,14401536,535701773,477,67543,0,0,0,0,0,0,0,0,76,0,1
2992,1745800,588238848,14401536,535701773,477,67543,0,0,0,0,0,0,0,0,76,0,1
2993,3907700,588238848,14401536,535701773,477,67543,0,0,0,0,0,0,0,0,76,0,1
2994,1843700,588300288,14401536,535701773,478,67572,0,0,0,0,0,0,0,0,76,0,1
2995,4576700,588333056,14401536,535701773,478,67572,0,0,0,0,0,0,0,0,76,0,1
2996,1996200,588496896,14401536,535701773,478,67572,0,0,0,0,0,0,0,0,76,0,1
2997,3597800,588496896,14401536,535701773,478,67572,0,0,0,0,0,0,0,0,76,0,1
2998,1854200,588500992,14401536,535701773,478,67572,0,0,0,0,0,0,0,0,76,0,1
2999,3056400,588500992,14401536,535701773,478,67572,0,0,0,0,0,0,0,0,76,0,1
3000,1975900,588533760,14401536,535701773,479,92,0,0,0,0,0,0,0,0,76,0,1
3001,4375200,588566528,14401536,535701773,479,92,0,0,0,0,0,0,0,0,76,0,1
3002,3604300,588648448,14409728,535709965,479,92,0,0,0,0,0,0,0,0,76,0,1
3003,1452500,588648448,14409728,535709965,479,92,0,0,0,0,0,0,0,0,76,0,1
3004,3398500,588648448,14409728,535709965,479,92,0,0,0,0,0,0,0,0,76,0,1
3005,1910200,588668928,14409728,535709965,480,67572,0,0,0,0,0,0,0,0,76,0,1
3006,3962900,588759040,14409728,535709965,480,67572,0,0,0,0,0,0,0,0,76,0,1
3007,1915700,588873728,14409728,535709965,480,67572,0,0,0,0,0,0,0,0,76,0,1
3008,2702400,588873728,14409728,535709965,480,67572,0,0,0,0,0,0,0,0,76,0,1
3009,2182100,588877824,14409728,535709965,480,67572,0,0,0,0,0,0,0,0,76,0,1
3010,2215400,588877824,14409728,535709965,480,67572,0,0,0,0,0,0,0,0,76,0,1
3011,2143000,588877824,14409728,535709965,480,67572,0,0,0,0,0,0,0,0,76,0,1
3012,2485500,588877824,14409728,535709965,481,67594,0,0,0,0,0,0,0,0,76,0,1
3013,4986100,588984320,14409728,552487181,481,67594,0,0,0,0,0,0,0,0,76,0,1
3014,1080000,589053952,14409728,552487181,481,67594,0,0,0,0,0,0,0,0,76,0,1
3015,4213000,589053952,14409728,552487181,481,67594,0,0,0,0,0,0,0,0,76,0,1
3016,1734300,589053952,14409728,552487181,481,67594,0,0,0,0,0,0,0,0,76,0,1
3017,2952400,589053952,14409728,552487181,481,67594,0,0,0,0,0,0,0,0,76,0,1
3018,1868600,589139968,14409728,552487181,482,67595,0,0,0,0,0,0,0,0,76,0,1
3019,4252700,589139968,14409728,552487181,482,67595,0,0,0,0,0,0,0,0,76,0,1
3020,1813000,589139968,14409728,552487181,482,67595,0,0,0,0,0,0,0,0,76,0,1
3021,2658600,589139968,14409728,552487181,482,67595,0,0,0,0,0,0,0,0,76,0,1
3022,2333300,589139968,14409728,552487181,482,67595,0,0,0,0,0,0,0,0,76,0,1
3023,2194700,589139968,14409728,552487181,482,67595,0,0,0,0,0,0,0,0,76,0,1
3024,2004800,589230080,14409728,552487181,483,67595,0,0,0,0,0,0,0,0,76,0,1
3025,3750000,589230080,14409728,552487181,483,67595,0,0,0,0,0,0,0,0,76,0,1
3026,2169900,589230080,14409728,552487181,483,67595,0,0,0,0,0,0,0,0,76,0,1
3027,2468400,589230080,14409728,552487181,483,67595,0,0,0,0,0,0,0,0,76,0,1
3028,2199400,589230080,14409728,552487181,483,67595,0,0,0,0,0,0,0,0,76,0,1
3029,2459200,589230080,14409728,552487181,483,67595,0,0,0,0,0,0,0,0,76,0,1
3030,2170600,589230080,14409728,552487181,483,67595,0,0,0,0,0,0,0,0,76,0,1
3031,2465900,589246464,14409728,552487181,484,67596,0,0,0,0,0,0,0,0,76,0,1
3032,3852200,589316096,14409728,552487181,484,67596,0,0,0,0,0,0,0,0,76,0,1
3033,2615600,589668352,14409728,552487181,484,67596,0,0,0,0,0,0,0,0,76,0,1
3034,2538400,589914112,14409728,569264397,484,67596,0,0,0,0,0,0,0,0,76,0,1
3035,1930000,589914112,14409728,569264397,484,67596,0,0,0,0,0,0,0,0,76,0,1
3036,2777400,589914112,14409728,569264397,484,67596,0,0,0,0,0,0,0,0,76,0,1
3037,1931000,590086144,14409728,569264397,485,67571,0,0,0,0,0,0,0,0,76,0,1
3038,3931400,590086144,14409728,569264397,485,67571,0,0,0,0,0,0,0,0,76,0,1
3039,1914900,590086144,14409728,569264397,485,67571,0,0,0,0,0,0,0,0,76,0,1
3040,2840400,590086144,14409728,569264397,485,67571,0,0,0,0,0,0,0,0,76,0,1
3041,2009500,590086144,14409728,569264397,485,67571,0,0,0,0,0,0,0,0,76,0,1
3042,3036800,590086144,14409728,569264397,485,67571,0,0,0,0,0,0,0,0,76,0,1
3043,2309200,590086144,14409728,569264397,485,67571,0,0,0,0,0,0,0,0,76,0,1
3044,2263000,590262272,14409728,569264397,486,67953,0,0,0,0,0,0,0,0,76,0,1
3045,3347800,590262272,14409728,569264397,486,67953,0,0,0,0,0,0,0,0,76,0,1
3046,2128700,590262272,14409728,569264397,486,67953,0,0,0,0,0,0,0,0,76,0,1
3047,2249300,590262272,14409728,569264397,486,67953,0,0,0,0,0,0,0,0,76,0,1
3048,2637200,590262272,14409728,569264397,486,67953,0,0,0,0,0,0,0,0,76,0,1
