Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,NFE Snapshot Tick,NFE Snapshot Size (bits),NFE RTT,NFE Jitter,Multiplay FPS,Multiplay BitRate In,Multiplay BitRate Out,Multiplay RTT (ms),Multiplay PacketLoss,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
3282,4006800,585666560,15020032,502765837,0,0,0,0,0,0,0,0,0,0,57,0,1
3283,4232500,585670656,15020032,502765837,0,0,0,0,0,0,0,0,0,0,57,0,1
3284,3073300,585670656,15020032,502765837,0,0,0,0,0,0,0,0,0,0,57,0,1
3285,1916800,585670656,15020032,502765837,0,0,0,0,0,0,0,0,0,0,57,0,1
3286,2915400,585670656,15020032,502765837,0,0,0,0,0,0,0,0,0,0,57,0,1
3287,2006500,585670656,15020032,502765837,0,0,0,0,0,0,0,0,0,0,57,0,1
3288,4800300,587403264,15020032,519543053,0,0,0,0,0,0,0,0,0,0,87,0,1
3289,4142700,587440128,15020032,519543053,0,0,0,0,0,0,0,0,0,0,87,0,1
3290,2062600,587440128,15020032,519543053,0,0,0,0,0,0,0,0,0,0,87,0,1
3291,2869900,587440128,15020032,519543053,0,0,0,0,0,0,0,0,0,0,87,0,1
3292,2597300,587440128,15020032,519543053,0,0,0,0,0,0,0,0,0,0,87,0,1
3293,2714300,588644352,15020032,519543053,464,0,0,0,0,0,0,0,0,0,117,0,1
3294,4107300,588685312,15020032,519543053,464,0,0,0,0,0,0,0,0,0,117,0,1
3295,1786200,588689408,15020032,519543053,464,0,0,0,0,0,0,0,0,0,117,0,1
3296,2280400,588693504,15020032,519543053,464,0,0,0,0,0,0,0,0,0,117,0,1
3297,2152600,588697600,15020032,519543053,464,0,0,0,0,0,0,0,0,0,117,0,1
3298,2653700,588701696,15020032,519543053,464,0,0,0,0,0,0,0,0,0,117,0,1
3299,2565700,589688832,15020032,519543053,465,487,0,0,0,0,0,0,0,0,147,0,1
3300,3930400,589692928,15020032,519543053,465,487,0,0,0,0,0,0,0,0,147,0,1
3301,2011900,589967360,15020032,536320269,465,487,0,0,0,0,0,0,0,0,147,0,1
3302,2436700,589971456,15020032,536320269,465,487,0,0,0,0,0,0,0,0,147,0,1
3303,2010800,589971456,15020032,536320269,465,487,0,0,0,0,0,0,0,0,147,0,1
3304,3723500,589971456,15020032,536320269,465,487,0,0,0,0,0,0,0,0,147,0,1
3305,4793800,591081472,15020032,536320269,466,33,0,0,0,0,0,0,0,0,177,0,1
3306,2151800,591372288,15020032,536320269,466,33,0,0,0,0,0,0,0,0,177,0,1
3307,2586700,591376384,15020032,536320269,466,33,0,0,0,0,0,0,0,0,177,0,1
3308,2430200,591380480,15020032,536320269,466,33,0,0,0,0,0,0,0,0,177,0,1
3309,2396300,591384576,15020032,536320269,466,33,0,0,0,0,0,0,0,0,177,0,1
3310,2134100,591388672,15020032,536320269,466,33,0,0,0,0,0,0,0,0,177,0,1
3311,2702800,592293888,15020032,536320269,467,65832,0,0,0,0,0,0,0,0,207,0,1
3312,4120800,592293888,15020032,536320269,467,65832,0,0,0,0,0,0,0,0,207,0,1
3313,2143500,592412672,15020032,553097485,467,65832,0,0,0,0,0,0,0,0,207,0,1
3314,2539900,592412672,15015936,553093389,467,65832,0,0,0,0,0,0,0,0,207,0,1
3315,2212000,592416768,15015936,553093389,467,65832,0,0,0,0,0,0,0,0,207,0,1
3316,2368500,592416768,15015936,553093389,467,65832,0,0,0,0,0,0,0,0,207,0,1
3317,3538800,593203200,15015936,553093389,468,77752,0,0,0,0,0,0,0,0,228,0,1
3318,4927700,593268736,15015936,553093389,468,77752,0,0,0,0,0,0,0,0,228,0,1
3319,1274700,593285120,15015936,553093389,468,77752,0,0,0,0,0,0,0,0,228,0,1
3320,4405500,593285120,15015936,553093389,468,77752,0,0,0,0,0,0,0,0,228,0,1
3321,2109100,593285120,15015936,553093389,468,77752,0,0,0,0,0,0,0,0,228,0,1
3322,2879400,593285120,15015936,553093389,468,77752,0,0,0,0,0,0,0,0,228,0,1
3323,2099500,593453056,15015936,553093389,469,65827,0,0,0,0,0,0,0,0,228,0,1
3324,3893700,593481728,15015936,553093389,469,65827,0,0,0,0,0,0,0,0,228,0,1
3325,3753700,593596416,15015936,553093389,469,65827,0,0,0,0,0,0,0,0,228,0,1
3326,2328300,593604608,15020032,553097485,469,65827,0,0,0,0,0,0,0,0,228,0,1
3327,2166700,593608704,15020032,553097485,469,65827,0,0,0,0,0,0,0,0,228,0,1
3328,2102900,593625088,15020032,553097485,470,92,0,0,0,0,0,0,0,0,228,0,1
