Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,NFE Snapshot Tick,NFE Snapshot Size (bits),NFE RTT,NFE Jitter,Multiplay FPS,Multiplay BitRate In,Multiplay BitRate Out,Multiplay RTT (ms),Multiplay PacketLoss,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
3191,5523900,588709888,16887808,504633613,0,0,0,0,0,0,0,0,0,0,57,0,1
3192,2122300,588738560,16887808,504633613,0,0,0,0,0,0,0,0,0,0,57,0,1
3193,2519800,588742656,16887808,504633613,0,0,0,0,0,0,0,0,0,0,57,0,1
3194,2070400,588746752,16887808,504633613,0,0,0,0,0,0,0,0,0,0,57,0,1
3195,2585300,588750848,16887808,504633613,0,0,0,0,0,0,0,0,0,0,57,0,1
3196,2543400,588754944,16887808,504633613,0,0,0,0,0,0,0,0,0,0,57,0,1
3197,4120000,590471168,16887808,521410829,0,0,0,0,0,0,0,0,0,0,87,0,1
3198,4417400,590508032,16887808,521410829,0,0,0,0,0,0,0,0,0,0,87,0,1
3199,2005300,590508032,16887808,521410829,0,0,0,0,0,0,0,0,0,0,87,0,1
3200,3154500,590508032,16887808,521410829,0,0,0,0,0,0,0,0,0,0,87,0,1
3201,1806700,590512128,16887808,521410829,0,0,0,0,0,0,0,0,0,0,87,0,1
3202,3051200,591699968,16887808,521410829,453,0,0,0,0,0,0,0,0,0,117,0,1
3203,4037500,591720448,16887808,521410829,453,0,0,0,0,0,0,0,0,0,117,0,1
3204,2082300,591720448,16887808,521410829,453,0,0,0,0,0,0,0,0,0,117,0,1
3205,2787500,591720448,16887808,521410829,453,0,0,0,0,0,0,0,0,0,117,0,1
3206,1771200,591720448,16887808,521410829,453,0,0,0,0,0,0,0,0,0,117,0,1
3207,3213300,591720448,16887808,521410829,453,0,0,0,0,0,0,0,0,0,117,0,1
3208,2750500,592683008,16887808,521410829,454,489,0,0,0,0,0,0,0,0,147,0,1
3209,4040300,592695296,16887808,521410829,454,489,0,0,0,0,0,0,0,0,147,0,1
3210,2176600,592900096,16887808,521410829,454,489,0,0,0,0,0,0,0,0,147,0,1
3211,4119200,592904192,16887808,521410829,454,489,0,0,0,0,0,0,0,0,147,0,1
3212,3267800,592908288,16887808,521410829,454,489,0,0,0,0,0,0,0,0,147,0,1
3213,2987700,594153472,16887808,538188045,455,55,0,0,0,0,0,0,0,0,177,0,1
3214,4061300,594182144,16887808,538188045,455,55,0,0,0,0,0,0,0,0,177,0,1
3215,2237500,594198528,16887808,538188045,455,55,0,0,0,0,0,0,0,0,177,0,1
3216,2965300,594202624,16887808,538188045,455,55,0,0,0,0,0,0,0,0,177,0,1
3217,1505200,594206720,16887808,538188045,455,55,0,0,0,0,0,0,0,0,177,0,1
3218,3826500,594206720,16887808,538188045,455,55,0,0,0,0,0,0,0,0,177,0,1
3219,3000800,595283968,16887808,538188045,456,69403,0,0,0,0,0,0,0,0,207,0,1
3220,3945800,595308544,16887808,538188045,456,69403,0,0,0,0,0,0,0,0,207,0,1
3221,2778200,595501056,16883712,538183949,456,69403,0,0,0,0,0,0,0,0,207,0,1
3222,1781500,595505152,16883712,538183949,456,69403,0,0,0,0,0,0,0,0,207,0,1
3223,3463400,595505152,16883712,538183949,456,69403,0,0,0,0,0,0,0,0,207,0,1
3224,3666800,596279296,16883712,538183949,457,36,0,0,0,0,0,0,0,0,228,0,1
3225,4056000,596316160,16883712,538183949,457,36,0,0,0,0,0,0,0,0,228,0,1
3226,2826500,596320256,16883712,538183949,457,36,0,0,0,0,0,0,0,0,228,0,1
3227,1586800,596324352,16883712,538183949,457,36,0,0,0,0,0,0,0,0,228,0,1
3228,4233600,596328448,16883712,538183949,457,36,0,0,0,0,0,0,0,0,228,0,1
3229,1979400,596504576,16883712,538183949,458,69423,0,0,0,0,0,0,0,0,228,0,1
3230,3938200,596508672,16883712,538183949,458,69423,0,0,0,0,0,0,0,0,228,0,1
3231,2111900,596611072,16883712,554961165,458,69423,0,0,0,0,0,0,0,0,228,0,1
3232,3882400,596615168,16883712,554961165,458,69423,0,0,0,0,0,0,0,0,228,0,1
3233,2829600,596619264,16883712,554961165,458,69423,0,0,0,0,0,0,0,0,228,0,1
3234,2638700,596623360,16883712,554961165,458,69423,0,0,0,0,0,0,0,0,228,0,1
3235,1727700,596664320,16883712,554961165,459,94,0,0,0,0,0,0,0,0,228,0,1
3236,4643000,596697088,16883712,554961165,459,94,0,0,0,0,0,0,0,0,228,0,1
3237,2135100,596877312,16883712,554961165,459,94,0,0,0,0,0,0,0,0,228,0,1
3238,3180000,596881408,16883712,554961165,459,94,0,0,0,0,0,0,0,0,228,0,1
3239,1518300,596885504,16883712,554961165,459,94,0,0,0,0,0,0,0,0,228,0,1
3240,3214800,596889600,16883712,554961165,459,94,0,0,0,0,0,0,0,0,228,0,1
3241,2441400,596987904,16883712,554961165,460,69408,0,0,0,0,0,0,0,0,228,0,1
3242,4218400,596992000,16883712,554961165,460,69408,0,0,0,0,0,0,0,0,228,0,1
3243,1672200,597090304,16883712,554961165,460,69408,0,0,0,0,0,0,0,0,228,0,1
3244,2981300,597098496,16883712,554961165,460,69408,0,0,0,0,0,0,0,0,228,0,1
3245,2176100,597098496,16883712,554961165,460,69408,0,0,0,0,0,0,0,0,228,0,1
3246,2620200,597102592,16883712,554961165,460,69408,0,0,0,0,0,0,0,0,228,0,1
3247,1788400,597110784,16883712,554961165,461,79155,0,0,0,0,0,0,0,0,228,0,1
3248,4165400,597114880,16883712,554961165,461,79155,0,0,0,0,0,0,0,0,228,0,1
3249,1835800,597217280,16883712,571738381,461,79155,0,0,0,0,0,0,0,0,228,0,1
3250,2882500,597221376,16883712,571738381,461,79155,0,0,0,0,0,0,0,0,228,0,1
3251,2168700,597225472,16883712,571738381,461,79155,0,0,0,0,0,0,0,0,228,0,1
