Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2;37284000;564199424;9723904;444900901;0;0;0;0;0;0;0;0;0;0;0;0;0;
3;5208800;566206464;9723904;444900901;0;0;0;0;0;0;0;0;0;0;0;0;0;
4;4731100;566226944;9723904;444900901;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;1667600;566423552;9723904;444900901;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;4659700;566755328;9723904;495232549;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;2230100;570073088;9723904;495503629;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;4812200;570105856;9723904;495503629;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;1847500;570761216;9723904;495503629;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;3348900;571006976;9723904;495503629;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;2696900;571432960;9723904;495503629;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;4815700;571445248;9723904;495503629;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;1940000;571719680;9723904;495503629;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;4768000;571830272;9723904;495503629;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;2068300;571838464;9723904;495503629;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;4783100;572473344;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
17;4727500;572481536;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
18;1850200;572489728;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
19;2838800;572493824;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
20;2090200;572506112;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
21;2501500;572579840;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
22;4151200;572588032;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
23;1876900;572596224;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
24;2695300;572604416;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
25;2196600;572612608;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
26;2528300;572616704;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
27;1965500;572657664;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
28;3882400;572661760;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
29;1832900;572674048;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
30;2671200;572678144;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
31;2296600;572690432;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
32;2420200;572694528;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
33;2501200;572702720;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
34;2171400;572743680;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
35;4013300;572751872;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
36;1684300;572760064;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
37;3159700;572768256;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
38;2244600;572780544;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
39;2454500;572784640;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
40;2014800;572825600;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
41;3802000;572829696;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
42;1867100;572837888;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
43;2665700;572846080;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
44;2275300;572854272;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
45;2293400;572866560;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
46;2299500;572874752;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
47;2258900;572911616;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
48;3118700;572919808;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
49;2305900;572923904;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
50;2195100;572936192;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
51;2481600;572940288;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
52;2077200;572952576;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
53;2919700;572960768;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
54;1709700;572997632;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
55;4107800;573009920;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
56;1790900;573014016;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
57;3192600;573026304;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
58;1782500;573030400;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
59;2854100;573042688;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
60;2054600;573079552;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
61;3703900;573091840;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
62;1823800;573095936;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
63;2806900;573104128;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
64;2198100;573112320;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
65;2386400;573120512;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
66;2171800;573128704;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
67;2285700;573169664;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
68;2886000;573177856;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
