Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2;36030000;564076544;9723904;444900901;0;0;0;0;0;0;0;0;0;0;0;0;0;
3;4667600;564961280;9723904;444900901;0;0;0;0;0;0;0;0;0;0;0;0;0;
4;4082700;564973568;9723904;444900901;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;1808500;565149696;9723904;444900901;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;2512300;566353920;9723904;495232549;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;2341300;567439360;9723904;495232549;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;2006100;568840192;9723904;495503629;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;3804800;568860672;9723904;495503629;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;2366500;569454592;9723904;495503629;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;1972800;569806848;9723904;495503629;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;3124600;569962496;9723904;495503629;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;1223200;571068416;9723904;495503629;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;3663800;571129856;9723904;495503629;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;1924100;571342848;9723904;495503629;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;3615900;571449344;9723904;495503629;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;2245700;571457536;9723904;495503629;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;1969400;571465728;9723904;495503629;0;0;0;0;0;0;0;0;0;0;0;0;0;
19;4246800;572104704;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
20;3703000;572112896;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
21;2366200;572121088;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
22;1965300;572129280;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
23;2292600;572137472;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
24;2199500;572145664;9723904;495503629;0;0;0;0;0;0;0;0;0;0;9;0;0;
