Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2;37385300;564232192;13201408;448378405;0;0;0;0;0;0;0;0;0;0;0;0;0;
3;4878000;566177792;13201408;448378405;0;0;0;0;0;0;0;0;0;0;0;0;0;
4;3845400;566190080;13201408;448378405;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;2469900;566374400;13201408;448378405;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;1918600;567595008;13201408;498710053;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;2597600;568070144;13201408;498710053;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;2436500;570085376;13201408;498981133;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;3455800;570118144;13201408;498981133;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;1976400;570699776;13201408;498981133;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;2999200;571027456;13201408;498981133;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;1775900;571437056;13201408;498981133;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;2921400;571772928;13201408;498981133;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;3336400;571801600;13201408;498981133;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;2009600;572059648;13201408;498981133;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;3907100;572166144;13201408;498981133;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;1896600;572174336;13201408;498981133;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;2234200;572182528;13201408;498981133;0;0;0;0;0;0;0;0;0;0;0;0;0;
19;5408200;572833792;13201408;498981133;0;0;0;0;0;0;0;0;0;0;9;0;0;
20;3838300;572841984;13201408;498981133;0;0;0;0;0;0;0;0;0;0;9;0;0;
21;2051000;572850176;13201408;498981133;0;0;0;0;0;0;0;0;0;0;9;0;0;
22;2142700;572858368;13201408;498981133;0;0;0;0;0;0;0;0;0;0;9;0;0;
23;2291200;572866560;13201408;498981133;0;0;0;0;0;0;0;0;0;0;9;0;0;
24;2303400;572948480;13201408;498981133;0;0;0;0;0;0;0;0;0;0;9;0;0;
25;2489600;572952576;13201408;498981133;0;0;0;0;0;0;0;0;0;0;9;0;0;
26;2023700;572960768;13201408;498981133;0;0;0;0;0;0;0;0;0;0;9;0;0;
27;2300600;572968960;13201408;498981133;0;0;0;0;0;0;0;0;0;0;9;0;0;
28;2362200;572977152;13201408;498981133;0;0;0;0;0;0;0;0;0;0;9;0;0;
29;2112100;572985344;13201408;498981133;0;0;0;0;0;0;0;0;0;0;9;0;0;
30;2222300;572993536;13201408;498981133;0;0;0;0;0;0;0;0;0;0;9;0;0;
31;2286600;572997632;13201408;498981133;0;0;0;0;0;0;0;0;0;0;9;0;0;
32;2302300;573038592;13201408;498981133;0;0;0;0;0;0;0;0;0;0;9;0;0;
33;2398600;573042688;13201408;498981133;0;0;0;0;0;0;0;0;0;0;9;0;0;
34;2049700;573054976;13201408;498981133;0;0;0;0;0;0;0;0;0;0;9;0;0;
35;2279000;573063168;13201408;498981133;0;0;0;0;0;0;0;0;0;0;9;0;0;
36;2193600;573075456;13201408;498981133;0;0;0;0;0;0;0;0;0;0;9;0;0;
37;2466200;573079552;13201408;498981133;0;0;0;0;0;0;0;0;0;0;9;0;0;
38;2049400;573087744;13201408;498981133;0;0;0;0;0;0;0;0;0;0;9;0;0;
39;2302600;573132800;13201408;498981133;0;0;0;0;0;0;0;0;0;0;9;0;0;
40;2150800;573136896;13201408;498981133;0;0;0;0;0;0;0;0;0;0;9;0;0;
41;2413300;573149184;13201408;498981133;0;0;0;0;0;0;0;0;0;0;9;0;0;
42;2098600;573153280;13201408;498981133;0;0;0;0;0;0;0;0;0;0;9;0;0;
43;2270000;573165568;13201408;498981133;0;0;0;0;0;0;0;0;0;0;9;0;0;
44;2189300;573169664;13201408;498981133;0;0;0;0;0;0;0;0;0;0;9;0;0;
45;2419400;573177856;13201408;498981133;0;0;0;0;0;0;0;0;0;0;9;0;0;
46;2143400;573218816;13201408;498981133;0;0;0;0;0;0;0;0;0;0;9;0;0;
47;2500100;573227008;13201408;498981133;0;0;0;0;0;0;0;0;0;0;9;0;0;
48;2337600;573235200;13201408;498981133;0;0;0;0;0;0;0;0;0;0;9;0;0;
49;2113600;573243392;13201408;498981133;0;0;0;0;0;0;0;0;0;0;9;0;0;
