Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2;40584900;564420608;11472896;446649893;0;0;0;0;0;0;0;0;0;0;0;0;0;
3;5891000;566370304;11472896;446649893;0;0;0;0;0;0;0;0;0;0;0;0;0;
4;4088500;566386688;11472896;446649893;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;2163200;566562816;11472896;446649893;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;3101500;567783424;11472896;496981541;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;2114500;569606144;11472896;496981541;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;3152100;570261504;11472896;497252621;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;4039300;570322944;11472896;497252621;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;2255900;570884096;11472896;497252621;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;2675000;571207680;11472896;497252621;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;2713100;571383808;11472896;497252621;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;2051700;571420672;11472896;497252621;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;4195100;571428864;11472896;497252621;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;2093600;571703296;11472896;497252621;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;4138800;571809792;11472896;497252621;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;4660200;572432384;11472896;497252621;0;0;0;0;0;0;0;0;0;0;9;0;0;
18;4014700;572440576;11472896;497252621;0;0;0;0;0;0;0;0;0;0;9;0;0;
19;1897800;572444672;11472896;497252621;0;0;0;0;0;0;0;0;0;0;9;0;0;
20;2444600;572456960;11472896;497252621;0;0;0;0;0;0;0;0;0;0;9;0;0;
21;2168400;572461056;11472896;497252621;0;0;0;0;0;0;0;0;0;0;9;0;0;
22;2085200;572473344;11472896;497252621;0;0;0;0;0;0;0;0;0;0;9;0;0;
23;2329400;572542976;11472896;497252621;0;0;0;0;0;0;0;0;0;0;9;0;0;
24;3700900;572555264;11472896;497252621;0;0;0;0;0;0;0;0;0;0;9;0;0;
25;1994000;572559360;11472896;497252621;0;0;0;0;0;0;0;0;0;0;9;0;0;
