Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2;37522500;563466240;11468800;446645797;0;0;0;0;0;0;0;0;0;0;0;0;0;
3;5266600;565415936;11468800;446645797;0;0;0;0;0;0;0;0;0;0;0;0;0;
4;3875200;565436416;11468800;446645797;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;2019200;565612544;11468800;446645797;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;2155600;566829056;11468800;496977445;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;2470300;567742464;11468800;496977445;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;2090000;569294848;11468800;497248525;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;3750100;569319424;11468800;497248525;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;1947900;569860096;11468800;497248525;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;2234600;570007552;11468800;497248525;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;2218800;570318848;11468800;497248525;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;2882100;570454016;11468800;497248525;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;1753300;570466304;11468800;497248525;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;2291900;570576896;11468800;497248525;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;2385100;570769408;11468800;497248525;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;3737000;570875904;11468800;497248525;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;1866800;570888192;11468800;497248525;0;0;0;0;0;0;0;0;0;0;0;0;0;
19;2267800;570892288;11468800;497248525;0;0;0;0;0;0;0;0;0;0;0;0;0;
