Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2;38995500;564420608;9723904;444900901;0;0;0;0;0;0;0;0;0;0;0;0;0;
3;6201600;566362112;9723904;444900901;0;0;0;0;0;0;0;0;0;0;0;0;0;
4;3814600;566382592;9723904;444900901;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;1998400;566591488;9723904;444900901;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;3258900;567402496;9723904;495232549;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;1914200;569352192;9723904;495232549;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;2260100;570257408;9723904;495503629;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;3747000;570286080;9723904;495503629;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;2024400;570937344;9723904;495503629;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;2216000;571236352;9723904;495503629;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;4445600;571686912;9723904;495503629;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;625900;571899904;9723904;495503629;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;4194600;571908096;9723904;495503629;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;2263100;572186624;9723904;495503629;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;4003200;572293120;9723904;495503629;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;2150000;572301312;9723904;495503629;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;4883500;573534208;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
19;4222800;573542400;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
20;1908400;573546496;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
21;2116600;573558784;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
22;2486000;573566976;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
23;1978300;573718528;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
24;3355300;573726720;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
25;2170400;573734912;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
26;2127900;573743104;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
27;2210200;573751296;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
28;2264700;573759488;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
29;2404800;573767680;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
30;2057100;573857792;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
31;2634800;573861888;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
32;2355500;573874176;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
33;2079900;573878272;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
34;2274100;573890560;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
35;2285800;573898752;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
36;2303300;573906944;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
37;2106000;573947904;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
38;2506400;573956096;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
39;2157400;573960192;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
40;2431400;573972480;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
41;2072400;573976576;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
42;2406900;573988864;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
43;2044900;573992960;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
44;2445300;574001152;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
45;2091000;574046208;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
46;2459600;574050304;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
47;2304600;574058496;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
48;2156300;574066688;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
49;2480300;574074880;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
50;2025800;574083072;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
51;2357000;574091264;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
52;2131700;574128128;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
53;2371800;574140416;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
54;2192900;574144512;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
55;2388900;574152704;9723904;495503629;0;0;0;0;0;0;0;0;0;0;27;0;0;
56;2147900;574164992;9723904;497600781;0;0;0;0;0;0;0;0;0;0;27;0;0;
57;2230700;574173184;9723904;497600781;0;0;0;0;0;0;0;0;0;0;27;0;0;
58;2283600;574181376;9723904;497600781;0;0;0;0;0;0;0;0;0;0;27;0;0;
59;2440200;574189568;9723904;497600781;0;0;0;0;0;0;0;0;0;0;27;0;0;
