Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,NFE Snapshot Tick,NFE Snapshot Size (bits),NFE RTT,NFE Jitter,Multiplay FPS,Multiplay BitRate In,Multiplay BitRate Out,Multiplay RTT (ms),Multiplay PacketLoss,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
1,0,1735622656,1496997888,2873238434,0,0,0,0,0,0,0,0,0,,,,
1760,10157600,1738805248,1496997888,2906307636,0,0,0,0,0,0,0,0,0,0,19,0,1
1761,5134300,1738805248,1496997888,2906307636,0,0,0,0,0,0,0,0,0,0,19,0,1
1762,8673300,1738948608,1496997888,2906307636,0,0,0,0,0,0,0,0,0,0,29,0,1
1763,4378000,1738948608,1496997888,2906307636,0,0,0,0,0,0,0,0,0,0,29,0,1
1764,4426700,1738948608,1496997888,2906307636,0,0,0,0,0,0,0,0,0,0,29,0,1
1765,6939200,1738985472,1496997888,2906307636,363,0,0,0,0,0,0,0,0,0,39,0,1
1766,2514500,1738985472,1496997888,2906307636,363,0,0,0,0,0,0,0,0,0,39,0,1
1767,2781200,1738985472,1496997888,2906307636,363,0,0,0,0,0,0,0,0,0,39,0,1
1768,2392900,1738985472,1496997888,2906307636,363,0,0,0,0,0,0,0,0,0,39,0,1
1769,4156700,1739018240,1496997888,2906307636,364,479,0,0,0,0,0,0,0,0,49,0,1
1770,3368800,1739018240,1496997888,2906307636,364,479,0,0,0,0,0,0,0,0,49,0,1
1771,2286900,1739018240,1496997888,2906307636,364,479,0,0,0,0,0,0,0,0,49,0,1
1772,2346300,1739018240,1496997888,2906307636,364,479,0,0,0,0,0,0,0,0,49,0,1
1773,2600300,1739018240,1496997888,2906307636,364,479,0,0,0,0,0,0,0,0,49,0,1
1774,5949300,1739075584,1496997888,2906307636,365,51,0,0,0,0,0,0,0,0,59,0,1
1775,4191900,1739075584,1496997888,2906307636,365,51,0,0,0,0,0,0,0,0,59,0,1
1776,4001200,1739075584,1496997888,2906307636,365,51,0,0,0,0,0,0,0,0,59,0,1
1777,4413700,1739075584,1496997888,2906307636,365,51,0,0,0,0,0,0,0,0,59,0,1
1778,6969700,1739116544,1496997888,2906307636,366,34,0,0,0,0,0,0,0,0,69,0,1
1779,2591200,1739116544,1496997888,2906307636,366,34,0,0,0,0,0,0,0,0,69,0,1
1780,2393000,1739116544,1496997888,2906307636,366,34,0,0,0,0,0,0,0,0,69,0,1
1781,2639600,1739116544,1496997888,2906307636,366,34,0,0,0,0,0,0,0,0,69,0,1
1782,4875800,1739255808,1496997888,2906307636,367,34,0,0,0,0,0,0,0,0,76,0,1
1783,2881900,1739255808,1496997888,2906307636,367,34,0,0,0,0,0,0,0,0,76,0,1
1784,3712200,1739255808,1496997888,2906307636,367,34,0,0,0,0,0,0,0,0,76,0,1
1785,4447500,1739255808,1496997888,2906307636,367,34,0,0,0,0,0,0,0,0,76,0,1
1786,7691300,1738657792,1496997888,2906307636,368,78237,0,0,0,0,0,0,0,0,76,0,1
