Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,NFE Snapshot Tick,NFE Snapshot Size (bits),NFE RTT,NFE Jitter,Multiplay FPS,Multiplay BitRate In,Multiplay BitRate Out,Multiplay RTT (ms),Multiplay PacketLoss,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
1,0,1641332736,1488609280,2696120778,6301,0,0,0,0,0,0,0,0,,,,
1854,28919800,1645264896,1488609280,2729189980,0,0,0,0,0,0,0,0,0,0,29,0,5
1855,264146400,1645244416,1488609280,2729174860,409,0,0,0,0,0,0,0,0,0,49,0,5
1856,18971300,1646166016,1488609280,2729190196,419,0,0,0,0,0,0,0,0,0,76,0,5
1857,505084900,1647091712,1488609280,2745952076,426,8959,0,0,0,0,0,0,0,0,76,0,5
1858,295187700,1647620096,1488609280,2779506508,436,0,0,0,0,0,0,0,0,0,76,0,5
1859,13684400,1648037888,1488609280,2796299060,452,0,0,0,0,0,0,0,0,0,76,0,5
1860,117996300,1648254976,1488609280,2813060940,456,0,0,0,0,0,0,0,0,0,76,0,5
1861,10139400,1648676864,1488609280,2829853276,465,0,0,0,0,0,0,0,0,0,76,0,5
1862,4045600,1648795648,1488609280,2846630492,465,0,0,0,0,0,0,0,0,0,76,0,5
1863,5292800,1649217536,1488609280,2863407708,467,0,0,0,0,0,0,0,0,0,76,0,5
1864,3843500,1649324032,1488609280,2863407708,467,0,0,0,0,0,0,0,0,0,76,0,5
1865,2992900,1649324032,1488609280,2863407708,467,0,0,0,0,0,0,0,0,0,76,0,5
1866,2147500,1649324032,1488609280,2863407708,467,0,0,0,0,0,0,0,0,0,76,0,5
1867,3863300,1649758208,1488609280,2896962140,468,391592,0,0,0,0,0,0,0,0,76,0,5
1868,1945400,1649758208,1488609280,2896962140,468,391592,0,0,0,0,0,0,0,0,76,0,5
1869,2560300,1649860608,1488609280,2896962140,468,391592,0,0,0,0,0,0,0,0,76,0,5
