Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;4633300;1369513984;1488609280;2677705162;0;0;0;0;0;0;0;0;0;
2;25846300;1373999104;1488609280;2677730492;0;0;0;0;0;0;0;0;0;0;0;0;0;
3;18514800;1374142464;1488609280;2677757600;0;0;0;0;0;0;0;0;0;0;0;0;0;
4;8171200;1374158848;1488609280;2677762460;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;11292700;1376157696;1488609280;2711430188;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;9399100;1376329728;1488609280;2711430188;0;0;0;0;0;0;0;0;0;0;9;0;0;
7;2428300;1376329728;1488609280;2711430188;0;0;0;0;0;0;0;0;0;0;9;0;0;
8;3461200;1376337920;1488609280;2711430188;0;0;0;0;0;0;0;0;0;0;9;0;0;
9;2233400;1376337920;1488609280;2711430188;0;0;0;0;0;0;0;0;0;0;9;0;0;
10;2171000;1376342016;1488609280;2711430188;0;0;0;0;0;0;0;0;0;0;9;0;0;
11;3044700;1376342016;1488609280;2711430188;0;0;0;0;0;0;0;0;0;0;9;0;0;
12;2981400;1376342016;1488609280;2711430188;0;0;0;0;0;0;0;0;0;0;9;0;0;
13;2164500;1376346112;1488609280;2711430188;0;0;0;0;0;0;0;0;0;0;9;0;0;
14;2805800;1376346112;1488609280;2711430188;0;0;0;0;0;0;0;0;0;0;9;0;0;
15;1951000;1376346112;1488609280;2711430188;0;0;0;0;0;0;0;0;0;0;9;0;0;
16;1980000;1376346112;1488609280;2711430188;0;0;0;0;0;0;0;0;0;0;9;0;0;
17;2303600;1376346112;1488609280;2711430188;0;0;0;0;0;0;0;0;0;0;9;0;0;
18;2123200;1376346112;1488609280;2711430188;0;0;0;0;0;0;0;0;0;0;9;0;0;
19;2007100;1376346112;1488609280;2711430188;0;0;0;0;0;0;0;0;0;0;9;0;0;
20;1810000;1376346112;1488609280;2711430188;0;0;0;0;0;0;0;0;0;0;9;0;0;
21;1780200;1376346112;1488609280;2711430188;0;0;0;0;0;0;0;0;0;0;9;0;0;
22;2731700;1376350208;1488609280;2711430188;0;0;0;0;0;0;0;0;0;0;9;0;0;
23;1894400;1376350208;1488609280;2711429000;0;0;0;0;0;0;0;0;0;0;9;0;0;
24;1826900;1376350208;1488609280;2711429000;0;0;0;0;0;0;0;0;0;0;9;0;0;
25;3274700;1376350208;1488609280;2711429000;0;0;0;0;0;0;0;0;0;0;9;0;0;
26;2475200;1376354304;1488609280;2711429000;0;0;0;0;0;0;0;0;0;0;9;0;0;
27;1841200;1376354304;1488609280;2711429000;0;0;0;0;0;0;0;0;0;0;9;0;0;
28;1753500;1376354304;1488609280;2711429000;0;0;0;0;0;0;0;0;0;0;9;0;0;
29;2682000;1376354304;1488609280;2711429000;0;0;0;0;0;0;0;0;0;0;9;0;0;
30;1876800;1376354304;1488609280;2711429000;0;0;0;0;0;0;0;0;0;0;9;0;0;
31;1702500;1376354304;1488609280;2711429000;0;0;0;0;0;0;0;0;0;0;9;0;0;
32;1828200;1376358400;1488609280;2711429000;0;0;0;0;0;0;0;0;0;0;9;0;0;
33;2037100;1376358400;1488609280;2711429000;0;0;0;0;0;0;0;0;0;0;9;0;0;
34;2018800;1376358400;1488609280;2711429000;0;0;0;0;0;0;0;0;0;0;9;0;0;
35;1777600;1376358400;1488609280;2711429000;0;0;0;0;0;0;0;0;0;0;9;0;0;
36;1708200;1376358400;1488609280;2711429000;0;0;0;0;0;0;0;0;0;0;9;0;0;
37;1725900;1376358400;1488609280;2711429000;0;0;0;0;0;0;0;0;0;0;9;0;0;
38;2610500;1376358400;1488609280;2711413340;0;0;0;0;0;0;0;0;0;0;9;0;0;
39;1738400;1376362496;1488609280;2711413340;0;0;0;0;0;0;0;0;0;0;9;0;0;
40;1677400;1376362496;1488609280;2711413340;0;0;0;0;0;0;0;0;0;0;9;0;0;
41;1895200;1376362496;1488609280;2711413340;0;0;0;0;0;0;0;0;0;0;9;0;0;
42;2138500;1376362496;1488609280;2711413340;0;0;0;0;0;0;0;0;0;0;9;0;0;
43;1801100;1376362496;1488609280;2711413340;0;0;0;0;0;0;0;0;0;0;9;0;0;
44;1761700;1376362496;1488609280;2711413340;0;0;0;0;0;0;0;0;0;0;9;0;0;
45;1698900;1376366592;1488609280;2711413340;0;0;0;0;0;0;0;0;0;0;9;0;0;
46;1689700;1376366592;1488609280;2711413340;0;0;0;0;0;0;0;0;0;0;9;0;0;
47;2669900;1376366592;1488609280;2711413340;0;0;0;0;0;0;0;0;0;0;9;0;0;
48;1922800;1376366592;1488609280;2711413340;0;0;0;0;0;0;0;0;0;0;9;0;0;
49;1769200;1376366592;1488609280;2711413340;0;0;0;0;0;0;0;0;0;0;9;0;0;
50;3109900;1376370688;1488609280;2711413340;0;0;0;0;0;0;0;0;0;0;9;0;0;
51;2989600;1376370688;1488609280;2711413340;0;0;0;0;0;0;0;0;0;0;9;0;0;
52;2624500;1376370688;1488609280;2711413340;0;0;0;0;0;0;0;0;0;0;9;0;0;
53;4327500;1376370688;1488609280;2711413340;0;0;0;0;0;0;0;0;0;0;9;0;0;
54;3210000;1376370688;1488609280;2711413340;0;0;0;0;0;0;0;0;0;0;9;0;0;
55;3642300;1376370688;1488609280;2711413340;0;0;0;0;0;0;0;0;0;0;9;0;0;
56;2985000;1376370688;1488609280;2711413340;0;0;0;0;0;0;0;0;0;0;9;0;0;
57;2898500;1376374784;1488609280;2711413340;0;0;0;0;0;0;0;0;0;0;9;0;0;
58;4781800;1376374784;1488609280;2711413340;0;0;0;0;0;0;0;0;0;0;9;0;0;
59;3602700;1376374784;1488609280;2711413340;0;0;0;0;0;0;0;0;0;0;9;0;0;
60;2984400;1376374784;1488609280;2711413340;0;0;0;0;0;0;0;0;0;0;9;0;0;
61;2898400;1376374784;1488609280;2711413340;0;0;0;0;0;0;0;0;0;0;9;0;0;
