Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;1636855808;1496997888;2873238434;4824;0;0;0;0;0;0;0;0;
2;47608700;1641459712;1496997888;2873329300;0;0;0;0;0;0;0;0;0;0;0;0;0;
3;37751200;1641639936;1496997888;2873356192;0;0;0;0;0;0;0;0;0;0;0;0;0;
4;14246200;1641680896;1496997888;2873361052;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;15956200;1643839488;1496997888;2907028780;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;14082300;1644056576;1496997888;2907028780;0;0;0;0;0;0;0;0;0;0;9;0;0;
7;5729700;1644060672;1496997888;2907028780;0;0;0;0;0;0;0;0;0;0;9;0;0;
8;3401200;1644060672;1496997888;2907028780;0;0;0;0;0;0;0;0;0;0;9;0;0;
9;7432500;1644060672;1496997888;2907028780;0;0;0;0;0;0;0;0;0;0;9;0;0;
10;2470700;1644060672;1496997888;2907028780;0;0;0;0;0;0;0;0;0;0;9;0;0;
11;2221100;1644060672;1496997888;2907028780;0;0;0;0;0;0;0;0;0;0;9;0;0;
12;2646000;1644060672;1496997888;2907028780;0;0;0;0;0;0;0;0;0;0;9;0;0;
13;3649000;1644060672;1496997888;2907028780;0;0;0;0;0;0;0;0;0;0;9;0;0;
14;4466200;1644060672;1496997888;2907028780;0;0;0;0;0;0;0;0;0;0;9;0;0;
15;2352000;1644060672;1496997888;2907028780;0;0;0;0;0;0;0;0;0;0;9;0;0;
16;2266400;1644064768;1496997888;2907028780;0;0;0;0;0;0;0;0;0;0;9;0;0;
17;2438500;1644068864;1496997888;2907028780;0;0;0;0;0;0;0;0;0;0;9;0;0;
18;2900400;1644068864;1496997888;2907028780;0;0;0;0;0;0;0;0;0;0;9;0;0;
19;3969100;1644068864;1496997888;2907028780;0;0;0;0;0;0;0;0;0;0;9;0;0;
20;2477800;1644068864;1496997888;2907028780;0;0;0;0;0;0;0;0;0;0;9;0;0;
21;2066200;1644068864;1496997888;2907028780;0;0;0;0;0;0;0;0;0;0;9;0;0;
22;2076600;1644068864;1496997888;2907028780;0;0;0;0;0;0;0;0;0;0;9;0;0;
23;2340900;1644068864;1496997888;2907028780;0;0;0;0;0;0;0;0;0;0;9;0;0;
24;2695000;1644068864;1496997888;2907028780;0;0;0;0;0;0;0;0;0;0;9;0;0;
25;3408900;1644068864;1496997888;2907028780;0;0;0;0;0;0;0;0;0;0;9;0;0;
26;2233500;1644068864;1496997888;2907028780;0;0;0;0;0;0;0;0;0;0;9;0;0;
27;3257700;1644068864;1496997888;2907028780;0;0;0;0;0;0;0;0;0;0;9;0;0;
28;2967800;1644068864;1496997888;2907012148;0;0;0;0;0;0;0;0;0;0;9;0;0;
29;4507400;1644068864;1496997888;2907012148;0;0;0;0;0;0;0;0;0;0;9;0;0;
30;5540900;1644068864;1496997888;2907012148;0;0;0;0;0;0;0;0;0;0;9;0;0;
31;3147900;1644068864;1496997888;2907012148;0;0;0;0;0;0;0;0;0;0;9;0;0;
32;3296300;1644068864;1496997888;2907012148;0;0;0;0;0;0;0;0;0;0;9;0;0;
33;3324900;1644068864;1496997888;2907012148;0;0;0;0;0;0;0;0;0;0;9;0;0;
34;3709100;1644068864;1496997888;2907012148;0;0;0;0;0;0;0;0;0;0;9;0;0;
35;5002400;1644068864;1496997888;2907012148;0;0;0;0;0;0;0;0;0;0;9;0;0;
36;3636700;1644068864;1496997888;2907012148;0;0;0;0;0;0;0;0;0;0;9;0;0;
37;3805600;1644068864;1496997888;2907012148;0;0;0;0;0;0;0;0;0;0;9;0;0;
38;3924300;1644068864;1496997888;2907012148;0;0;0;0;0;0;0;0;0;0;9;0;0;
39;5007000;1644072960;1496997888;2907012148;0;0;0;0;0;0;0;0;0;0;9;0;0;
40;3860200;1644072960;1496997888;2907012148;0;0;0;0;0;0;0;0;0;0;9;0;0;
41;3840600;1644072960;1496997888;2907012148;0;0;0;0;0;0;0;0;0;0;9;0;0;
42;5506800;1644072960;1496997888;2907012148;0;0;0;0;0;0;0;0;0;0;9;0;0;
43;3337400;1644072960;1496997888;2907012148;0;0;0;0;0;0;0;0;0;0;9;0;0;
44;2269100;1644072960;1496997888;2907012148;0;0;0;0;0;0;0;0;0;0;9;0;0;
45;2198900;1644072960;1496997888;2907012148;0;0;0;0;0;0;0;0;0;0;9;0;0;
46;2136000;1644072960;1496997888;2907012148;0;0;0;0;0;0;0;0;0;0;9;0;0;
47;2383400;1644072960;1496997888;2907012148;0;0;0;0;0;0;0;0;0;0;9;0;0;
48;3308000;1644072960;1496997888;2907012148;0;0;0;0;0;0;0;0;0;0;9;0;0;
49;3846000;1644072960;1496997888;2907012148;0;0;0;0;0;0;0;0;0;0;9;0;0;
50;2398900;1644072960;1496997888;2907012148;0;0;0;0;0;0;0;0;0;0;9;0;0;
51;2192400;1644072960;1496997888;2907012148;0;0;0;0;0;0;0;0;0;0;9;0;0;
52;3329300;1644072960;1496997888;2907012148;0;0;0;0;0;0;0;0;0;0;9;0;0;
53;4689100;1644072960;1496997888;2907012148;0;0;0;0;0;0;0;0;0;0;9;0;0;
54;3065900;1644072960;1496997888;2907012148;0;0;0;0;0;0;0;0;0;0;9;0;0;
55;3037500;1644072960;1496997888;2907012148;0;0;0;0;0;0;0;0;0;0;9;0;0;
56;2766500;1644072960;1496997888;2907012148;0;0;0;0;0;0;0;0;0;0;9;0;0;
57;3045300;1644072960;1496997888;2907012148;0;0;0;0;0;0;0;0;0;0;9;0;0;
58;4284500;1644072960;1496997888;2907012148;0;0;0;0;0;0;0;0;0;0;9;0;0;
59;2580600;1644072960;1496997888;2907012148;0;0;0;0;0;0;0;0;0;0;9;0;0;
60;2419300;1644077056;1496997888;2907012148;0;0;0;0;0;0;0;0;0;0;9;0;0;
61;1925600;1644077056;1496997888;2907012148;0;0;0;0;0;0;0;0;0;0;9;0;0;
62;1891500;1644077056;1496997888;2907012148;0;0;0;0;0;0;0;0;0;0;9;0;0;
63;2136800;1644077056;1496997888;2907012148;0;0;0;0;0;0;0;0;0;0;9;0;0;
64;2380200;1644077056;1496997888;2906176564;0;0;0;0;0;0;0;0;0;0;9;0;0;
65;3249400;1644077056;1496997888;2906176564;0;0;0;0;0;0;0;0;0;0;9;0;0;
66;2242200;1644077056;1496997888;2906176564;0;0;0;0;0;0;0;0;0;0;9;0;0;
67;3582700;1644077056;1496997888;2906176564;0;0;0;0;0;0;0;0;0;0;9;0;0;
68;3546500;1644077056;1496997888;2906176564;0;0;0;0;0;0;0;0;0;0;9;0;0;
69;2463600;1644077056;1496997888;2906176564;0;0;0;0;0;0;0;0;0;0;9;0;0;
70;3038900;1644077056;1496997888;2906176564;0;0;0;0;0;0;0;0;0;0;9;0;0;
71;1829300;1644077056;1496997888;2906176564;0;0;0;0;0;0;0;0;0;0;9;0;0;
72;1807000;1644077056;1496997888;2906176564;0;0;0;0;0;0;0;0;0;0;9;0;0;
73;1770400;1644077056;1496997888;2906176564;0;0;0;0;0;0;0;0;0;0;9;0;0;
